CustomerID,Age,gender,occupation,income,Type,Limit,LoanID,Type,SanctionedAmount,SavingsID,AvgBalance
CID-844146,20,F,SelfEmployed,720732,Platinum,50000,LID-7137,Personal,100000,SID-617758,53212
CID-844146,20,F,SelfEmployed,720732,Travellers,100000,LID-7137,Personal,100000,SID-617758,53212
CID-888898,30,F,SelfEmployed,809772,Travellers,100000,LID-469165,Housing,200000,SID-6161,26050
CID-888898,30,F,SelfEmployed,809772,Platinum,200000,LID-469165,Housing,200000,SID-6161,26050
CID-599715,39,F,SelfEmployed,61812,Platinum,500000,LID-250948,Vehicle,100000,SID-316089,24145
CID-599715,39,F,SelfEmployed,61812,Platinum,200000,LID-250948,Vehicle,100000,SID-316089,24145
CID-325685,2,F,Business,576608,Platinum,50000,LID-321390,Personal,500000,SID-596185,86013
CID-325685,2,F,Business,576608,Platinum,500000,LID-321390,Personal,500000,SID-596185,86013
CID-870597,34,M,Employee,87460,Shoppers,500000,LID-149426,Personal,100000,SID-472872,2569
CID-870597,34,M,Employee,87460,Platinum,500000,LID-149426,Personal,100000,SID-472872,2569
CID-638400,13,M,Others,653628,gold,50000,LID-878712,Vehicle,100000,SID-352843,61272
CID-638400,13,M,Others,653628,Shoppers,100000,LID-878712,Vehicle,100000,SID-352843,61272
CID-540920,20,F,Employee,246090,Shoppers,500000,LID-532418,Vehicle,200000,SID-800448,80363
CID-540920,20,F,Employee,246090,Travellers,500000,LID-532418,Vehicle,200000,SID-800448,80363
CID-47653,3,M,Others,219766,Shoppers,100000,LID-76737,Vehicle,500000,SID-545288,97390
CID-47653,3,M,Others,219766,Travellers,50000,LID-76737,Vehicle,500000,SID-545288,97390
CID-864376,40,F,Business,760411,Travellers,100000,LID-872515,Personal,500000,SID-390898,64274
CID-864376,40,F,Business,760411,gold,500000,LID-872515,Personal,500000,SID-390898,64274
CID-124718,11,F,Employee,90729,Travellers,200000,LID-318660,Vehicle,100000,SID-659245,3634
CID-124718,11,F,Employee,90729,Platinum,200000,LID-318660,Vehicle,100000,SID-659245,3634
CID-879780,24,F,Others,25412,gold,100000,LID-812461,Vehicle,50000,SID-126569,3409
CID-879780,24,F,Others,25412,Platinum,50000,LID-812461,Vehicle,50000,SID-126569,3409
CID-831912,31,F,Others,366632,Travellers,500000,LID-479703,Vehicle,100000,SID-219229,91833
CID-831912,31,F,Others,366632,Travellers,200000,LID-479703,Vehicle,100000,SID-219229,91833
CID-790665,39,F,SelfEmployed,643898,gold,100000,LID-662815,Personal,500000,SID-550134,14179
CID-790665,39,F,SelfEmployed,643898,Travellers,50000,LID-662815,Personal,500000,SID-550134,14179
CID-718652,12,F,Others,277730,Travellers,50000,LID-756444,Personal,200000,SID-854203,31339
CID-718652,12,F,Others,277730,Shoppers,200000,LID-756444,Personal,200000,SID-854203,31339
CID-510108,18,F,Business,221653,Platinum,200000,LID-466769,Vehicle,200000,SID-756672,13544
CID-510108,18,F,Business,221653,Shoppers,50000,LID-466769,Vehicle,200000,SID-756672,13544
CID-453098,22,F,Others,700572,Shoppers,200000,LID-329125,Housing,200000,SID-200163,20611
CID-453098,22,F,Others,700572,gold,100000,LID-329125,Housing,200000,SID-200163,20611
CID-174780,27,F,Business,290405,gold,200000,LID-416405,Personal,200000,SID-293620,72415
CID-174780,27,F,Business,290405,Shoppers,200000,LID-416405,Personal,200000,SID-293620,72415
CID-877665,11,F,Business,81390,Shoppers,100000,LID-120909,Housing,100000,SID-727195,40546
CID-877665,11,F,Business,81390,gold,200000,LID-120909,Housing,100000,SID-727195,40546
CID-462611,22,M,Employee,303514,gold,100000,LID-817679,Housing,100000,SID-56542,29602
CID-462611,22,M,Employee,303514,Platinum,200000,LID-817679,Housing,100000,SID-56542,29602
CID-345749,37,M,Business,532375,Shoppers,500000,LID-309010,Housing,500000,SID-695271,39255
CID-345749,37,M,Business,532375,Shoppers,100000,LID-309010,Housing,500000,SID-695271,39255
CID-406419,31,M,Others,86200,gold,100000,LID-482032,Personal,500000,SID-808444,96511
CID-406419,31,M,Others,86200,Travellers,100000,LID-482032,Personal,500000,SID-808444,96511
CID-272291,18,F,Business,258415,Platinum,50000,LID-557769,Vehicle,200000,SID-127764,62758
CID-272291,18,F,Business,258415,gold,100000,LID-557769,Vehicle,200000,SID-127764,62758
CID-675377,36,F,Business,470748,gold,200000,LID-417225,Personal,50000,SID-430590,38336
CID-675377,36,F,Business,470748,Travellers,100000,LID-417225,Personal,50000,SID-430590,38336
CID-271044,13,F,Employee,813364,Shoppers,100000,LID-464804,Vehicle,50000,SID-170353,18923
CID-271044,13,F,Employee,813364,Platinum,50000,LID-464804,Vehicle,50000,SID-170353,18923
CID-548153,25,F,Employee,91266,gold,100000,LID-637260,Vehicle,100000,SID-720888,64350
CID-548153,25,F,Employee,91266,Travellers,50000,LID-637260,Vehicle,100000,SID-720888,64350
CID-473949,17,F,Business,57449,Shoppers,100000,LID-403133,Personal,100000,SID-551721,99889
CID-473949,17,F,Business,57449,gold,100000,LID-403133,Personal,100000,SID-551721,99889
CID-869495,38,F,SelfEmployed,618333,Platinum,500000,LID-369426,Personal,200000,SID-316827,13466
CID-869495,38,F,SelfEmployed,618333,gold,100000,LID-369426,Personal,200000,SID-316827,13466
CID-315161,35,F,Business,189543,Travellers,100000,LID-507497,Housing,50000,SID-340666,19806
CID-315161,35,F,Business,189543,Platinum,100000,LID-507497,Housing,50000,SID-340666,19806
CID-360393,38,F,Business,847542,Platinum,100000,LID-650865,Vehicle,50000,SID-513038,17807
CID-360393,38,F,Business,847542,gold,200000,LID-650865,Vehicle,50000,SID-513038,17807
CID-650683,32,M,Others,372193,Shoppers,50000,LID-474938,Vehicle,50000,SID-444351,92549
CID-650683,32,M,Others,372193,Travellers,100000,LID-474938,Vehicle,50000,SID-444351,92549
CID-162073,12,F,Others,522881,gold,100000,LID-843153,Housing,50000,SID-78455,80588
CID-162073,12,F,Others,522881,Shoppers,100000,LID-843153,Housing,50000,SID-78455,80588
CID-247638,39,F,SelfEmployed,226793,gold,100000,LID-168818,Personal,100000,SID-846272,98390
CID-247638,39,F,SelfEmployed,226793,gold,500000,LID-168818,Personal,100000,SID-846272,98390
CID-684063,25,F,Employee,850631,Shoppers,500000,LID-713762,Vehicle,100000,SID-482433,9633
CID-684063,25,F,Employee,850631,Platinum,100000,LID-713762,Vehicle,100000,SID-482433,9633
CID-94710,4,F,Others,443762,Travellers,100000,LID-18061,Personal,500000,SID-598578,90544
CID-94710,4,F,Others,443762,Travellers,100000,LID-18061,Personal,500000,SID-598578,90544
CID-535779,17,M,Others,17506,Shoppers,100000,LID-215596,Personal,500000,SID-142328,78071
CID-535779,17,M,Others,17506,gold,100000,LID-215596,Personal,500000,SID-142328,78071
CID-683988,31,M,Employee,749538,Platinum,500000,LID-169919,Vehicle,500000,SID-322255,85059
CID-683988,31,M,Employee,749538,gold,50000,LID-169919,Vehicle,500000,SID-322255,85059
CID-101901,32,F,Business,432244,Shoppers,500000,LID-852007,Personal,200000,SID-373827,96701
CID-101901,32,F,Business,432244,Shoppers,500000,LID-852007,Personal,200000,SID-373827,96701
CID-199561,9,F,Employee,783910,Shoppers,100000,LID-787520,Housing,200000,SID-595848,26084
CID-199561,9,F,Employee,783910,Travellers,200000,LID-787520,Housing,200000,SID-595848,26084
CID-715856,12,M,Others,324680,Travellers,50000,LID-315123,Housing,50000,SID-769015,68079
CID-715856,12,M,Others,324680,Travellers,100000,LID-315123,Housing,50000,SID-769015,68079
CID-732017,6,F,Employee,664001,Shoppers,500000,LID-797080,Personal,100000,SID-689304,2987
CID-732017,6,F,Employee,664001,Platinum,50000,LID-797080,Personal,100000,SID-689304,2987
CID-560816,18,F,Business,772201,Travellers,50000,LID-304294,Personal,50000,SID-289152,21447
CID-560816,18,F,Business,772201,Shoppers,100000,LID-304294,Personal,50000,SID-289152,21447
CID-853264,9,F,SelfEmployed,9192,Platinum,50000,LID-677015,Vehicle,200000,SID-889196,81231
CID-853264,9,F,SelfEmployed,9192,gold,100000,LID-677015,Vehicle,200000,SID-889196,81231
CID-272110,21,F,SelfEmployed,336154,gold,100000,LID-828109,Vehicle,500000,SID-780691,30126
CID-272110,21,F,SelfEmployed,336154,Platinum,500000,LID-828109,Vehicle,500000,SID-780691,30126
CID-634018,16,M,Business,463954,Platinum,50000,LID-627672,Vehicle,100000,SID-336078,13111
CID-634018,16,M,Business,463954,Travellers,200000,LID-627672,Vehicle,100000,SID-336078,13111
CID-494930,35,F,Employee,47414,Platinum,500000,LID-37310,Personal,200000,SID-492717,83584
CID-494930,35,F,Employee,47414,Platinum,500000,LID-37310,Personal,200000,SID-492717,83584
CID-662480,16,F,Others,71585,gold,50000,LID-345554,Personal,100000,SID-257786,57241
CID-662480,16,F,Others,71585,gold,200000,LID-345554,Personal,100000,SID-257786,57241
CID-844581,20,M,Others,186453,Platinum,500000,LID-180824,Vehicle,100000,SID-221561,83869
CID-844581,20,M,Others,186453,Platinum,200000,LID-180824,Vehicle,100000,SID-221561,83869
CID-719504,6,F,Others,744355,Platinum,100000,LID-750153,Housing,500000,SID-48649,87690
CID-719504,6,F,Others,744355,Shoppers,50000,LID-750153,Housing,500000,SID-48649,87690
CID-156037,40,F,Business,112522,Shoppers,200000,LID-796368,Personal,50000,SID-725362,45459
CID-156037,40,F,Business,112522,gold,100000,LID-796368,Personal,50000,SID-725362,45459
CID-557751,23,M,Employee,690814,Platinum,200000,LID-605862,Housing,500000,SID-738947,64974
CID-557751,23,M,Employee,690814,Travellers,100000,LID-605862,Housing,500000,SID-738947,64974
CID-554912,26,M,Employee,48569,Travellers,100000,LID-782291,Housing,100000,SID-746742,88225
CID-554912,26,M,Employee,48569,Platinum,50000,LID-782291,Housing,100000,SID-746742,88225
CID-711872,38,M,Others,574065,gold,200000,LID-820111,Vehicle,100000,SID-486397,5938
CID-711872,38,M,Others,574065,Shoppers,50000,LID-820111,Vehicle,100000,SID-486397,5938
CID-173039,41,F,SelfEmployed,51495,Platinum,500000,LID-376765,Housing,100000,SID-295639,16307
CID-173039,41,F,SelfEmployed,51495,Platinum,50000,LID-376765,Housing,100000,SID-295639,16307
CID-710567,18,F,Business,799982,Shoppers,100000,LID-886126,Personal,200000,SID-222383,36439
CID-710567,18,F,Business,799982,Travellers,100000,LID-886126,Personal,200000,SID-222383,36439
CID-492009,10,F,Business,764815,Shoppers,100000,LID-145796,Personal,500000,SID-582365,87939
CID-492009,10,F,Business,764815,gold,100000,LID-145796,Personal,500000,SID-582365,87939
CID-811592,32,F,Employee,499137,gold,500000,LID-404815,Personal,200000,SID-195298,69174
CID-811592,32,F,Employee,499137,Shoppers,100000,LID-404815,Personal,200000,SID-195298,69174
CID-534186,26,F,Others,676528,Platinum,200000,LID-640603,Personal,50000,SID-771273,69260
CID-534186,26,F,Others,676528,Shoppers,100000,LID-640603,Personal,50000,SID-771273,69260
CID-755137,34,F,Others,706954,Travellers,200000,LID-339208,Housing,100000,SID-315283,72111
CID-755137,34,F,Others,706954,Shoppers,50000,LID-339208,Housing,100000,SID-315283,72111
CID-461650,19,F,Business,84360,Platinum,50000,LID-496938,Personal,100000,SID-825125,50385
CID-461650,19,F,Business,84360,gold,50000,LID-496938,Personal,100000,SID-825125,50385
